ten_benh,trieu_chung_goc,symptoms_extract,negated_symptoms,duration,icd_code,icd_name,confidence
phế cầu khuẩn,"vi khuẩn phế cầu streptococcus pneumoniae thường gây ra nhiều bệnh lý nhiễm khuẩn phế cầu khác nhau, phổ biến là bệnh viêm tai giữa, viêm xoang, những bệnh nhiễm trùng nặng và nguy hiểm đến tính mạng như nhiễm khuẩn ở phổi gây viêm phổi, nhiễm trùng máu, viêm màng não 1. viêm phổi một trong những nguyên nhân chính gây ra bệnh viêm phổi ở trẻ em và người già trên 65 tuổi, những người có hệ miễn dịch yếu là do nhiễm khuẩn phế cầu. viêm phổi là bệnh nhiễm trùng tại phổi khiến các túi khí ở một bên hoặc hai bên phổi bị tổn thương gây viêm. bệnh tiến triển nhanh, dễ biến chứng nếu không được chẩn đoán chính xác và điều trị kịp thời. triệu chứng của bệnh viêm phổi do phế cầu thường là sốt cao, rét run, có trường hợp giảm thân nhiệt, đau ngực, khó thở, ho có đờm hoặc máu 2. viêm tai giữa đây là bệnh nhiễm trùng ở tai. nguyên nhân phổ biến là do bị ảnh hưởng bởi tình trạng nhiễm trùng tại đường hô hấp trên không được điều trị dứt điểm hoặc không đúng cách dẫn đến bệnh viêm tai giữa. bệnh thường gặp ở trẻ nhỏ với tỷ lệ lên đến 80 . triệu chứng của bệnh thường là sốt cao, quấy khóc, chán ăn bỏ bú, có biểu hiện dụi tai, tiêu chảy . đối với người lớn, bệnh cũng có thể xuất hiện với triệu chứng rõ ràng và dễ nhận biết hơn như đau vùng tai, sốt, gặp vấn đề về thính giác, cáu gắt, mệt mỏi, buồn nôn. nếu bị nặng có thể xuất hiện dịch chảy từ tai ra ngoài. 3. viêm màng não viêm màng não do phế cầu bị nhiễm khuẩn gây ra rất khó phát hiện. bệnh để lại nhiều di chứng nặng nề cho người mắc. khi mắc bệnh, triệu chứng thường là đau đầu, nôn ói. biểu hiện này dễ gây nhầm lẫn với các bệnh lý đường tiêu hóa. ngoài ra, bệnh còn có biểu hiện sốt cao, nhức đầu trong vòng nhiều giờ, thậm chí nhiều ngày. người nhiễm bệnh viêm màng não rất nhạy cảm với ánh sáng, cứng cổ, mất cảm giác ngon miệng, rối loạn ý thức, lơ mơ bứt rứt. bệnh viêm màng não do nhiễm khuẩn phế cầu nếu không được phát hiện và điều trị đúng phác đồ có thể để lại di chứng thần kinh. 4. nhiễm trùng huyết ở người nhiễm hiv những người có hệ miễn dịch suy yếu (ví dụ như người nhiễm hiv) dễ mắc nhiều bệnh lý hơn so với người bình thường, trong đó có bệnh nhiễm trùng huyết do phế cầu khuẩn gây ra. vi khuẩn phế cầu xâm nhập vào máu và gây ra nhiều triệu chứng như sốt, rét run, đau đầu, lơ mơ, có thể sốc nhiễm khuẩn gây tử vong. ngoài các bệnh lý trên, phế cầu khuẩn còn gây nhiều bệnh lý khác như viêm kết mạc, viêm tủy xương, viêm mô tế bào, viêm xoang cấp tính, viêm màng ngoài tim","sốt
mát
run
giảm thân nhiệt
đau ngực
khó thở
ho
có đờm
có máu
quấy khóc
chán ăn
bỏ bú
dụi tai
tiêu chảy
đau vùng tai
sợ ánh sáng
mất cảm giác ngon miệng
đau đầu
nôn ói
bứt rứt
cứng cổ
rối loạn ý thức
lơ mơ
sốc nhiễm khuẩn
nhức đầu",Không có,không có,J13,Viêm phổi do phế cầu streptococcus pneumoniae,0.6582
phì đại cuốn mũi,cảm giác nghẹt mũi; khó thở; đau đầu; tiết chất nhầy từ mũi vào cổ họng; viêm xoang; ngáy; ho khan; khô miệng; khứu giác bị suy giảm; hôi miệng; ngứa mũi; ngưng thở khi ngủ; đau ở gốc mũi; hắt xì; chảy máu cam; giọng mũi; mất thính lực; một cảm giác bị bóp nghẹt trong tai.,"nghẹt mũi
khó thở
đau đầu
tiết chất nhầy
viêm xoang
ngáy
ho khan
khô miệng
suy giảm khứu giác
hôi miệng
ngứa mũi
đau ở gốc mũi
chảy máu cam
giọng mũi",Không có,không có,J34.3,Phì đại cuốn mũi,1.0
phì đại thất trái,"đau thắt ngực, nhất là khi hoạt động thể chất. chóng mặt, ngất xỉu. nhịp tim nhanh hoặc không đều. mệt mỏi. hụt hơi. khó thở.","đau thắt ngực
ngất xỉu
chóng mặt
mệt mỏi
khó thở",nhanh hoặc không đều,không có,N90.6,Phì đại âm hộ,0.5721
phì đại tuyến tiền liệt,"tiểu nhiều lần trong đêm tiểu gấp tiểu phải rặn cảm giác mót tiểu tia nước tiểu yếu hoặc ngắt quãng tiểu không kiểm soát đôi khi bí tiểu ngoài ra, một số triệu chứng ít phổ biến hơn bao gồm: nhiễm trùng đường tiết niệu có máu trong nước tiểu kích thước tuyến tiền liệt không phải là yếu tố quyết định tình trạng tiểu khó, mà phụ thuộc vào nhân cứng của tuyến. bên cạnh đó, các triệu chứng đường tiết niệu còn đến từ nhiều nguyên nhân khác như: viêm tuyến tiền liệt, hẹp niệu đạo, sẹo cổ bàng quang do phẫu thuật trước đó, sỏi bàng quang, sỏi thận ngoài ra, một số yếu tố nguy cơ khác khiến cho tỷ lệ mắc bệnh cao hơn bao gồm: tuổi tác: khoảng 1 3 nam giới có triệu chứng từ trung bình đến nặng ở độ tuổi 60 và 1 2 trường hợp trong số đó sẽ bị tăng sinh tuyến tiền liệt ở độ tuổi 80. tình trạng tăng sinh của tuyến tiền liệt hiếm khi xuất hiện ở nam giới dưới 40 tuổi. di truyền: nếu người đàn ông có một người thân cùng huyết thống như cha hoặc anh trai mắc các vấn đề về tuyến tiền liệt thì nguy cơ có bệnh cũng sẽ cao hơn người khác.","tiểu gấp
tiểu phải rặn
cảm giác mót tiểu
tia nước tiểu yếu
ngắt quãng tiểu không kiểm soát
bí tiểu
tiểu không kiểm soát
tiểu khó
negated_symptoms
tăng sinh tuyến tiền liệt ở
viêm tuyến tiền liệt
yếu tố nguy cơ khác khiến
liệt ở độ tuổi 80
liệt thì nguy cơ có bệnh
liệt không phải là yếu tố
tiểu kích thước tuyến tiền liệt
tiểu tia nước tiểu yếu
tiểu ngoài ra
liệt hiếm khi xuất hiện ở
yếu tố quyết định tình trạng
tiểu phải rặn cảm giác mót","tăng sinh tuyến tiền liệt ở
viêm tuyến tiền liệt
yếu tố nguy cơ khác khiến
liệt ở độ tuổi 80
liệt thì nguy cơ có bệnh
liệt không phải là yếu tố
tiểu kích thước tuyến tiền liệt
tiểu tia nước tiểu yếu
tiểu ngoài ra
liệt hiếm khi xuất hiện ở
yếu tố quyết định tình trạng
tiểu phải rặn cảm giác mót",không có,K11.1,Phì đại tuyến nước bọt,0.6988
phì đại tuyến vú,"ban đầu núm vú to ra, sờ núm vú cảm giác chính giữa có thể có nhân to, chắc, rắn. nhân này càng ngày lan ra thành một quầng mà ta có thể di chuyển được, sờ được như một tấm đệm lót ở trong vú. thể tích bầu ngực lớn gấp nhiều lần. ngực bị xệ, mức độ phì đại càng lớn thì độ sa trễ càng nặng. làn da vùng ngực bị rạn và nhão. đau vú. đau ở lưng, vai, cổ. nhiễm trùng hoặc áp xe. mất cảm giác núm vú. đỏ, ngứa, ấm trên hoặc dưới vú.","mất cảm giác núm vú
nhiễm trùng
áp xe
đau vú
đau lưng",Không có,không có,K11.1,Phì đại tuyến nước bọt,0.7321
phình động mạch,"ngoài các dấu hiệu cảnh báo chung, phình động mạch ở các vị trí khác nhau có thể gây ra những triệu chứng đặc trưng hơn do sự chèn ép lên các cơ quan lân cận hoặc do ảnh hưởng đến chức năng của cơ quan đó. dưới đây là một số ví dụ: phình động mạch não: ngoài đau đầu dữ dội đột ngột (trong trường hợp vỡ), phình động mạch não có thể gây ra các triệu chứng như đau đầu kéo dài, hoa mắt, chóng mặt, nhìn đôi, sụp mí mắt, giãn đồng tử, yếu hoặc liệt tay chân, rối loạn ngôn ngữ, co giật. phình động mạch chủ ngực: có thể gây đau ngực, đau lưng, khó thở, khàn tiếng, ho, khó nuốt, tàn tật. phình động mạch chủ bụng: thường ít triệu chứng, nhưng khi túi phình lớn có thể gây đau bụng âm ỉ, đau lưng, cảm giác có 1 khối lớn trong bụng, hoặc sờ thấy một khối có mạch đập ở bụng. phình động mạch cảnh: có thể gây đau đầu, chóng mặt, rối loạn thị giác, yếu hoặc liệt nửa người (nếu có huyết khối gây tắc mạch não), khàn tiếng (do chèn ép dây thần kinh thanh quản), hội chứng horner (do chèn ép hạch giao cảm gây sụp mí, co đồng tử, giảm tiết mồ hôi nửa mặt). phình động mạch khoeo: có thể gây đau sau đầu gối, cảm giác căng tức hoặc sưng tấy ở vùng khoeo, cảm giác mạch đập mạnh ở khoeo, tê bì hoặc lạnh chân, đau cách hồi (đau khi đi lại, giảm khi nghỉ ngơi), loét chân. phình động mạch mạc treo: có thể gây đau bụng sau ăn, giảm cân không rõ nguyên nhân, chán ăn, đầy bụng, xuất huyết tiêu hóa (nôn ra máu, đi ngoài phân đen). phình động mạch lách: thường không có triệu chứng, nhưng có thể gây đau âm bụng ỉ hoặc khó chịu ở vùng thượng vị hoặc hạ sườn trái.","đau đầu dữ dội đột ngột
đau đầu kéo dài
hoa mắt
chóng mặt
nhìn đôi
sụp mí mắt
yếu hoặc liệt tay chân
rối loạn ngôn ngữ
co giật
khó thở
đau ngực
khó nuốt
tàn tật
đau lưng
tê bì hoặc lạnh chân
loét chân
đau bụng âm ỉ
đau khi đi lại
loại bỏ khi nghỉ ngơi
căng tức hoặc sưng tấy ở
đau sau đầu gối
đau âm bụng ỉ hoặc khó
đau bụng sau ăn
giảm tiết mồ hôi nửa mặt
rối loạn thị giác
đi ngoài phân đen
nôn ra máu
chán ăn
đầy bụng
giảm cân không rõ nguyên nhân",giảm cân,không có,I72,Phình và tách động mạch khác,0.8154
phình động mạch chủ bụng,"đau sâu, liên tục ở vùng bụng hoặc một bên bụng; đau lưng; vùng xung quanh rốn đập mạnh (giống như đánh trống ngực). khi khối phình vỡ, bệnh nhân cần được cấp cứu ngay. các triệu chứng báo hiệu tình trạng này là: da nhơ t, chân tay la nh, đổ mồ hôi; chóng mặt; ngất xỉu; tim đập nhanh; buồn nôn và nôn; khó thở; đau đột ngột ở bụng, lưng dưới, chân với mức độ tăng dần","đau đột ngột ở bụng
đau lưng
ngất xỉu
khó thở
buồn nôn
nôn
đánh trống ngực
đau sâu
chóng mặt
đổ mồ hôi",Không có,không có,I71.3,Phình động mạch chủ bụng vỡ,0.8794
phình động mạch chủ ngực,"phình động mạch chủ ngực hiếm khi gây ra triệu chứng ở giai đoạn đầu. các dấu hiệu cảnh báo (nếu có) thường là: đau ở hàm, cổ, ngực hoặc lưng trên; khó nuốt hoặc đau khi nuốt (nếu khối phình mạch đè lên thực quản); khàn giọng (nếu khối phình mạch đè lên dây thần kinh ảnh hưởng đến thanh quản); ho hoặc khó thở (nếu khối phình mạch đè lên khí quản). khi bệnh tiến triển nặng gây biến chứng vỡ khối phình hoặc bóc tách động mạch chủ, người bệnh sẽ có biểu hiện: đau đột ngột, dữ dội ở ngực hoặc lưng; chóng mặt hoặc lâng lâng; hụt hơi; nhịp tim nhanh; đổ mồ hôi nhiều; lú lẫn; khó nói; mất thị lực; yếu liệt một bên cơ thể. khi bị đau đột ngột, dữ dội ở ngực cần thăm khám ngay để loại trừ triệu chứng phình động mạch chủ ngực khi bị đau đột ngột, dữ dội ở ngực cần thăm khám ngay để loại trừ triệu chứng phình động mạch chủ ngực nếu khối phình mạch chủ bị vỡ, cơ hội sống sót của bệnh nhân sẽ giảm đi sau mỗi giờ (thậm chí là mỗi phút) trôi qua. vì thế, khi xuất hiện các triệu chứng nghi vỡ khối phình, người bệnh cần được đưa đến bệnh viện khâ n câ p để được can thiệp điều trị càng sớm càng tốt.","đau ở hàm
đau cổ
đau ngực
đau lưng trên
khó nuốt
khàn giọng
ho
khó thở
đau đột ngột
dữ dội ở ngực
lên lưng
chóng mặt
lâng lâng
hụt hơi
nhịp tim nhanh
đổ mồ hôi nhiều
lú lẫn
khó nói
mất thị lực
yếu liệt một bên cơ thể","yếu liệt một bên cơ thể
phình mạch đè lên dây thần
ho
mất thị lực
phình mạch đè lên khí quản
giảm đi sau mỗi giờ
khó thở
đau ở hàm
lú lẫn
khó nuốt hoặc đau khi nuốt
không phình mạch chủ bị vỡ
không đau đột ngột",đột ngột,I71.1,Phình động mạch chủ ngực vỡ,0.8382
phình động mạch ngoại biên,"khối đập theo nhịp mạch: cảm nhận được một khối phồng đập ở vùng cổ, chân, tay hoặc bẹn; đau cách hồi: cảm giác chuột rút hoặc đau nhức ở chân khi vận động; đau khi nghỉ ngơi: cơn đau ở tay hoặc chân xuất hiện ngay cả khi không hoạt động; vết loét khó lành: các vết loét dai dẳng ở ngón tay hoặc ngón chân không có dấu hiệu hồi phục; tê hoặc đau lan tỏa: cảm giác tê bì, đau lan rộng ở chân hoặc tay; hoại tử mô: tình trạng mô bị chết do không được cung cấp máu đầy đủ.","cảm giác tê bì
đau lan rộng ở chân
đau cách hồi
đau lan tỏa
nhức ở chân khi vận động
khó lành
tê hoặc đau lan tỏa
đau khi nghỉ ngơi
loét khó lành
tê bì","loét dai dẳng ở ngón tay
đau ở tay hoặc chân xuất",không có,Q27.3,Dị tật động tĩnh mạch ngoại biên,0.7411
phình động mạch ở cổ,"khó nhìn ở một hoặc cả hai bên mắt; đi lại khó khăn, choáng váng, chóng mặt, mất thăng bằng; bị tê, yếu một bên mặt hoặc tay chân; đau đầu dữ dội và xảy ra đột ngột; khó nói hoặc khó hiểu lời nói của người khác. ngoài ra, phình mạch máu cổ cũng có thể gây ra các triệu chứng khác nếu mạch máu bị phình tạo áp lực lên các cấu trúc xung quanh, các dấu hiệu thường gặp như: đau đầu; khàn giọng; đau cổ; sưng mặt; cảm giác nhói hoặc nổi cục ở cổ; khó nuốt; vấn đề về thị lực.","khó nhìn
choáng váng
chóng mặt
mất thăng bằng
tê
đau đầu dữ dội
khó nói
khó hiểu lời
khó nuốt
phình mạch máu cổ
đau cổ
sưng mặt
cảm giác nhói
nổi cục ở cổ
nổi cục ở
thị lực",Không có,đột ngột,S15,Tổn thương mạch máu vùng cổ,0.6623
phình động mạch ở phổi,"đau ngực: cơn đau có thể âm ỉ, khó chịu, hoặc nhói buốt như dao đâm. đau thường tăng lên khi gắng sức, vận động mạnh, hoặc thậm chí ho nhẹ cũng đau. khó thở: cảm giác hụt hơi, thở gấp gáp ngay cả khi chỉ làm những việc nhẹ nhàng như đi bộ, leo cầu thang. ho ra máu: một dấu hiệu đáng báo động, có thể là ho ra máu tươi hoặc đờm lẫn máu. mệt mỏi: cơ thể luôn trong trạng thái uể oải, thiếu năng lượng, choáng váng, chóng mặt không rõ nguyên nhân. tim đập nhanh: cảm giác tim thình thịch bất thường, hoặc nhịp tim không đều, lúc nhanh lúc chậm . đau lưng hoặc vai: đau có thể lan ra cánh tay, khiến bạn nghĩ đến các bệnh lý xương khớp, nhưng đôi khi lại là dấu hiệu của phình mạch phổi. nuốt khó hoặc khàn tiếng: túi phình lớn có thể chèn ép thực quản hoặc dây thần kinh thanh quản, gây ra các triệu chứng này. sốt, ớn lạnh: nếu phình mạch phổi do nhiễm trùng, bạn có thể gặp các triệu chứng giống như cúm mùa, nhiễm trùng. tím tái môi và đầu chi: khi cơ thể thiếu oxy nặng, môi và các đầu ngón tay, ngón chân có thể có màu xanh tím. hồi hộp, ngất: trong trường hợp nặng, bệnh nhân có thể cảm thấy hồi hộp dữ dội, thậm chí ngất xỉu","đau ngực
cơn đau âm ỉ
cơn đau khó chịu
cơn đau nhói
cơn đau buốt
đau tăng lên khi gắng sức
đau tăng lên khi ho nhẹ
khó thở
cảm giác hụt hơi
thở gấp gáp
ho ra máu
ho ra máu tươi
đờm lẫn máu
mệt mỏi
tim đập thình thịch bất thường
tim đập không đều
đau lưng
đau vai
đau lan ra cánh tay
nuốt khó
khàn tiếng
sốt
ớn lạnh
phình lớn chèn ép thực quản
phình mạch phổi
phình mạch phổi do nhiễm trùng
tím tái môi và đầu chi
hồi hộp
ngất xỉu",chóng mặt,không có,I28.1,Phình động mạch phổi,0.971
phình động mạch vành,"cơn đau ngực có thể xuất hiện ngắt quãng hoặc tăng lên khi gắng sức; khó thở; ngoài ra, một số người mắc phình mạch vành còn hay gặp tình trạng huyết áp thấp, từ đó dễ dẫn đến các triệu chứng liên quan bao gồm: buồn nôn; chóng mặt hoặc choáng váng; cảm giác mệt lả, ngất xỉu; yếu sức; da nhợt nhạt, lạnh và ẩm; mất nước, cảm giác khát nước gia tăng; gặp vấn đề về thị lực; hơi thở nhanh, nông; suy giảm khả năng tập trung hoặc có cảm giác trầm cảm.","đau ngực
khó thở
buồn nôn
chóng mặt
ngất xỉu
mệt lả
suy giảm khả năng tập trung
trầm cảm
mất nước
yếu sức
khát nước gia tăng
phình mạch vành
tăng lên khi gắng sức",Không có,không có,I25.4,Phình động mạch chủ và các động mạch chi dưới,1.0
phình mạch máu não,"dấu hiệu phình mạch máu não không vỡ: các túi phình không phát triển, có kích thước nhỏ ít khi gây ra triệu chứng rõ ràng. thế nhưng nếu túi phình phát triển lớn, đè ép lên các dây thần kinh và mô não sẽ gây ra những triệu chứng như thị lực bị thay đổi, đau phía trên và sau mắt, liệt một bên mặt, sụp mi, đồng tử giãn triệu chứng khi túi phình mạch não bị rò rỉ: trong một số trường hợp, túi phình không vỡ nhưng lại rò rỉ một lượng máu nhất định ra bên ngoài, dẫn đến triệu chứng đau đầu kèm theo tiếng kêu. người bệnh cần đi khám ngay nếu gặp cơn đau đầu dữ dội, xuất hiện bất ngờ, đột ngột hoặc kết hợp với những triệu chứng bất thường khác. biểu hiện khi túi phình mạch bị vỡ: nếu các túi phình bị vỡ, người bệnh sẽ gặp cơn đau đầu ngột ngột, cực kỳ nghiêm trọng, kèm theo những triệu chứng như nôn mửa, buồn nôn, yếu liệt cơ thể, méo lệch mặt, hoa mắt, co giật, nhạy cảm với ánh sáng, cứng cổ, mất ý thức, thậm chí là tim ngừng đập. tình trạng này có thể dẫn đến đột quỵ xuất huyết não.","phình mạch não không vỡ
túi phình không phát triển
túi phình phát triển lớn
đau mắt
liệt mặt
sụp mi
điều chỉnh mi
giãn triệu chứng
rò rỉ máu
đau đầu dữ dội
nôn mửa
bệnh viện
mất ý thức
đột quỵ xuất huyết não","buồn nôn
đau đầu ngột ngột
hoa mắt
cứng cổ
rò rỉ máu
đau đầu kèm theo tiếng kêu
đột ngột
bất thường
đột quỵ xuất huyết não
liệt cơ thể
méo lệch mặt
co giật
nhạy cảm với ánh sáng
mất ý thức
đau đầu dữ dội
yếu liệt cơ thể
liệt một bên mặt
nôn",không có,I63.3,Nhồi máu não do huyết khối động mạch não,0.6731
phình mạch máu ở chân,"một khối u đập theo nhịp mà bạn có thể cảm nhận được tại vị trí động mạch bị phình to. chuột rút ở chân khi tập thể dục. đau ở vị trí phình giãn động mạch chân. các vết loét ở ngón tay hoặc ngón chân không lành. tê bì lan tỏa. hoại tử. ngất xỉu (có thể là dấu hiệu xuất huyết. yếu ở tay, chân, cổ, ngón tay hoặc ngón chân. ngón chân đau, đổi màu, tím tái.","giãn động mạch chân
ngất xỉu
phình to
đau ở vị trí phình giãn
tê bì lan tỏa
u đập theo nhịp mà bạn
hoại tử
yếu ở tay
yếu ở chân
yếu ở cổ
ngón tay đau
ngón chân đau
ngón chân đổi màu
ngón chân tím tái",Không có,không có,I26.9,Phình mạch máu ở chân (khác),0.7136
phình tách động mạch chủ,"đau ngực, đau lưng, đau bụng đột ngột và dữ dội; ngất xỉu hoặc mất ý thức; khó thở, hụt hơi; chóng mặt, choáng váng; khó nói, giọng khàn; mất thị lực; yếu hoặc liệt một bên cơ thể; mạch yếu; đau hoặc liệt chân.","đau ngực
đau lưng
ngất xỉu
mất ý thức
khó thở
hụt hơi
chóng mặt
choáng váng
khó nói
mất thị lực
yếu một bên cơ thể
liệt một bên cơ thể
liệt chân",Không có,đột ngột,I71,Phình và tách thành động mạch chủ,0.9211
phổi tắc nghẽn mạn tính,"cảm thấy khó thở, đặc biệt là trong các hoạt động thể chất; thở khò khè; tức ngực; ho có đờm kéo dài; nhiễm trùng đường hô hấp thường xuyên; thiếu năng lượng; giảm cân ngoài ý muốn (trong giai đoạn sau); sưng phù ở mắt cá chân, bàn chân hoặc chân. sốt nhẹ và cảm giác ớn lạnh những người mắc bệnh cũng có khả năng trải qua các đợt cấp trong đó các biểu hiện trên có thể trở nên tồi tệ hơn so với sự thay đổi thông thường hàng ngày và kéo dài ít nhất vài ngày. trong những trường hợp nặng có thể phải nhập viện, điều trị kháng sinh, thở máy, corticoid chức năng hệ hô hấp giảm sút, thời gian sống còn bị rút ngắn lại. khi xuất hiện các biểu hiện ở giai đoạn ban đầu, người bệnh thường chủ quan cho rằng những cơn ho, khạc đờm là bệnh bình thường. từ đó, không có các can thiệp kịp thời, dẫn đến tiếp tục tiến triển nặng lên đến khi xuất hiện triệu chứng khó thở liên tục. ban đầu, tình trạng khó thở thường chỉ xuất hiện khi gắng sức, càng về sau cơn khó thở càng xuất hiện thường xuyên hơn, và đến giai đoạn cuối cùng người bệnh cảm thấy khó thở ngay cả khi đang nghỉ ngơi trên giường. để đánh giá mức độ khó thở, có thể sử dụng thang phân mức độ theo tác giả sadoul: (4) mức độ 0: không khó thở khi leo cầu thang mức độ 1: khó thở khi leo cầu thang từ tầng 2 trở lên mức độ 2: khó thể khi leo dốc mức độ 3: khó thở khi đi lại tốc độ bình thường trên đường bằng cùng người khác mức độ 4: khó thở khi đi lại với tốc độ bình thường và thường xuyên phải dừng lại để nghỉ mức độ 5: khó thở khi thực hiện các công việc hàng ngày như mặc quần áo, đánh răng rửa mặt","khó thở
thở khò khè
ít năng lượng
giảm cân
sưng phù ở mắt cá chân
phù ở bàn chân
phù ở chân
sốt nhẹ
ớn lạnh
tức ngực
ho có đờm
nhiễm trùng đường hô hấp thường
khó thở khi leo cầu thang
khó thở liên tục",Không có,không có,J44,Các bệnh phổi tắc nghẽn mãn tính khác,0.7024
phù gai thị,"nhìn mờ hoặc mất thị lực: đây là biểu hiện phù gai thị xảy ra do áp lực vật lý lên dây thần kinh thị giác, dây thần kinh điều khiển thị lực 3 . một số trường hợp bị chèn ép dây thần kinh thị giác sẽ bị nhìn mờ hoặc mất thị lực ở một hoặc cả hai mắt. không giống như nhiều tình trạng thần kinh khác gây mất thị lực đối xứng ở cả hai mắt, phù gai thị liên quan đến việc mất thị lực chỉ ở một mắt hoặc mất thị lực không đối xứng ở cả hai mắt. đau đầu: triệu chứng phù gai thị thường liên quan đến tình trạng đau đầu và áp lực lên đầu, vì các tình trạng gây sưng dây thần kinh thị giác cũng có thể gây áp lực bên trong hộp sọ, gây đau. cơn đau sẽ trở nên tồi tệ hơn và cũng có thể cải thiện khi bệnh nhân thay đổi vị trí đầu. đau sau một hoặc cả hai mắt: áp lực tăng lên gây ra phù gai thị có thể tập trung nhiều hơn ở gần một hoặc cả hai mắt, gây ra cơn đau dữ dội nhất ở sau mắt thay vì khắp đầu. mệt mỏi: phù gai thị thường gây ra tình trạng rất mệt mỏi và buồn ngủ.","mờ hoặc mất thị lực
đau đầu
áp lực lên
mệt mỏi
sưng dây thần kinh thị giác
tăng lên gây ra phù gai
mỏi và buồn ngủ","mất thị lực đối xứng ở
mất thị lực không đối xứng",không có,H47.1,Phù gai không đặc hiệu,0.5656
phù hoàng điểm,"triệu chứng của phù hoàng điểm phổ biến nhất là nhìn mờ và tình trạng này ngày càng tệ hơn theo thời gian. khi bị phù hoàng điểm người bệnh sẽ khó đọc chữ, khó lái xe hoặc thực hiện các nhiệm vụ cần chú ý đến chi tiết đòi hỏi phải nhìn về phía trước. theo đó, triệu chứng phù hoàng điểm phổ biến thường bao gồm: tầm nhìn gợn sóng khi nhìn màu sắc không rõ, cảm giác màu nhạt hơn bình thường thay đổi bất thường khi nhìn thích thước, vật thể nhìn mờ và thị lực kém hơn theo thời gian nếu chỉ bị phù hoàng điểm ở 1 mắt sẽ khó nhận ra những thay đổi về thị lực tình trạng mờ mắt mức độ nhẹ hoặc nghiêm trọng hơn gây mất thị lực trung tâm","nhìn mờ
tầm nhìn gợn sóng
thay đổi thị lực
thị lực kém
mất thị lực trung tâm
mờ mắt mức độ nhẹ",Không có,theo thời gian,G71.9,"Phù hoàng điểm, không đặc hiệu",0.5488
phù kết mạc,"phù kết mạc có thể gây ra nhiều mức độ sưng và khó chịu khác nhau. một số trường hợp chỉ gây kích ứng nhẹ, trong khi những trường hợp nghiêm trọng có thể ảnh hưởng đến khả năng nhìn và nhắm mắt. dưới đây là các triệu chứng thường gặp và dấu hiệu nguy hiểm cần chú ý: dễ nhầm giữa viêm và phù kết mạc phù kết mạc thường bị nhầm lẫn với viêm kết mạc. 1. triệu chứng thường gặp các triệu chứng phổ biến nhất của chứng phù nề mắt bao gồm: kích ứng mắt, mí mắt sưng húp, ngứa và chảy nước mắt 2 . ngoài ra, nhiều người còn cảm thấy có dị vật hoặc thứ gì đó trong mắt. dấu hiệu đặc trưng của phù kết mạc mắt là sưng ở phần trắng của mắt trông giống như mụn nước màu hồng hoặc đỏ. tình trạng sưng này là do chất lỏng tích tụ trong mắt.","sưng
khó chịu
ngứa
chảy nước mắt
điều này là do chất lỏng
sưng húp",Không có,trong khi những trường hợp,H10,Viêm kết mạc,0.8488
phù não,"người bị bệnh phù não có thể gặp một số triệu chứng dưới đây: (2) đau đầu, cổ. buồn nôn. chóng mặt. gặp khó khăn khi nói chuyện, di chuyển. người bệnh có thể gặp thêm những triệu chứng dưới đây khi bị phù não nghiêm trọng hơn, bao gồm: cơ thể trở nên yếu đuối, tê liệt. co giật. không kiểm soát được hành vi. tâm trạng thay đổi. mất trí nhớ. ý thức thay đổi. triệu chứng phù não có thể bị nhầm lẫn với những dấu hiệu của các bệnh lý thần kinh khác. do đó, việc nhận định, phát hiện phù não có thể gặp khó khăn. bác sĩ thường sẽ chỉ định người bệnh thực hiện các phương pháp chẩn đoán cận lâm sàng phù hợp để chẩn đoán bệnh, điển hình là chụp ct hoặc mri não. ví dụ, dấu hiệu phù não trên ct trong 6 giờ đầu thường gặp là hình ảnh giảm đậm độ, diện tích của ổ nhồi máu ⅓ mca và hình ảnh lệch đường giữa.","đau đầu
cổ
buồn nôn
chóng mặt
di chuyển
tê liệt
co giật
không kiểm soát được hành vi
thay đổi tâm trạng
mất trí nhớ
ý thức thay đổi",Không có,không có,G93.6,Phù não (do nhiễm trùng),1.0
phù thũng,một vùng cơ thể sưng lên hơn so với bình thường. da ở vùng bị sưng căng và bóng. nếu bị phù ở chân có thể khiến người bệnh đau khi di chuyển. ho. khó thở. cảm giác đầy hoặc căng tức ở phần cơ thể bị phù. đau nhẹ ở vùng bị ảnh hưởng.,"sưng
căng và bóng
đau khi di chuyển
ho
khoảng thở
căng tức ở phần cơ thể",Không có,không có,J81,Phù phổi,0.5569
polyp dạ dày,"đa phần các trường hợp mắc bệnh polyp dạ dày đều không có triệu chứng. chúng thường phát hiện tình cờ khi người bệnh đi kiểm tra về các vấn đề khác của dạ dày. tuy nhiên, một số dấu hiệu có thể nhận biết gồm: khó tiêu trào ngược axit ợ nóng đau bụng ăn mau no mệt mỏi khi polyp lớn có thể gây chảy máu gây thiếu máu, hoặc gây tắc nghẽn đường tiêu hóa.(1) bị polyp dạ dày","khó tiêu
trào ngược axit
ợ nóng
đau bụng
ăn mau no
mệt mỏi","chảy máu gây thiếu máu
gây tắc nghẽn đường tiêu hóa",không có,K31.7,Polyp tá tràng và dạ dày,0.7593
